SMD [fecha_entrega=#REF!, semana=1, convencional=SI, referencia=SOR0045, lote=11, articulo=315862 PLACA CABEZAL, cantidad=24, CAD_intro=*, CAD_mod=*, horas=0'94, observaciones=non_value]
SMD [fecha_entrega=#REF!, semana=3, convencional=NO, referencia=MAZ0004_01, lote=4, articulo=LSU 46-5V_PreProd_1.2, cantidad=300, CAD_intro=*, CAD_mod=L, horas=5'05, observaciones=non_value]
SMD [fecha_entrega=#REF!, semana=3, convencional=NO, referencia=ELE0021, lote=1, articulo=A00338-D SMD, cantidad=102, CAD_intro=L, CAD_mod=*, horas=5'38, observaciones=non_value]
SMD [fecha_entrega=#REF!, semana=3, convencional=SI, referencia=ING0006_01, lote=2, articulo=i154-01H4_PCA, cantidad=6, CAD_intro=*, CAD_mod=L, horas=6, observaciones=non_value]
SMD [fecha_entrega=#REF!, semana=4, convencional=NO, referencia=ELE0020, lote=2, articulo=E00750, cantidad=23, CAD_intro=*, CAD_mod=*, horas=4'15, observaciones=non_value]
SMD [fecha_entrega=#REF!, semana=4, convencional=NO, referencia=THI0010, lote=1, articulo=PedalHacker_v12, cantidad=45, CAD_intro=L, CAD_mod=*, horas=1'71, observaciones=non_value]
SMD [fecha_entrega=#REF!, semana=4, convencional=SI, referencia=MON0005_01, lote=2, articulo=DRV-HV200A-PW v2, cantidad=12, CAD_intro=*, CAD_mod=L, horas=4'08, observaciones=non_value]
SMD [fecha_entrega=#REF!, semana=4, convencional=SI, referencia=MON0006_01, lote=2, articulo=DRV-HV200A-CTL v2, cantidad=12, CAD_intro=*, CAD_mod=L, horas=4'64, observaciones=non_value]
SMD [fecha_entrega=#REF!, semana=4, convencional=NO, referencia=JVV0051, lote=6, articulo=0949-005-0R02 M11, cantidad=100, CAD_intro=*, CAD_mod=*, horas=1'43, observaciones=non_value]
SMD [fecha_entrega=#REF!, semana=4, convencional=NO, referencia=JVV0153, lote=1, articulo=0877-042-0R02, cantidad=50, CAD_intro=L, CAD_mod=*, horas=1'53, observaciones=SOLO PDTE. PANTALLA RECIBIREMOS 25/01/16 > SE TIENEN Q MARCAR FIDUCIALES DE IMAGEN PARA PODER SERIGRAFIAR YA QUE LOS DE PANEL QUEDAN TAPADOS POR LA SERIGRAFIA. CIPSA RECOGE PANTALLA. 26/01/16 CLIENTE ENTREGA PANTALLA ]
SMD [fecha_entrega=#REF!, semana=4, convencional=NO, referencia=JVV0103, lote=4, articulo=0877-036-0R02, cantidad=50, CAD_intro=*, CAD_mod=*, horas=1'73, observaciones=non_value]
SMD [fecha_entrega=#REF!, semana=4, convencional=NO, referencia=JVV0121, lote=3, articulo=0877-045-0R01 M1, cantidad=100, CAD_intro=*, CAD_mod=*, horas=1'3, observaciones=non_value]
SMD [fecha_entrega=#REF!, semana=4, convencional=NO, referencia=JVV0148, lote=8, articulo=0589-029-0R01 M3, cantidad=193, CAD_intro=*, CAD_mod=*, horas=1'49, observaciones=non_value]
SMD [fecha_entrega=#REF!, semana=5, convencional=NO, referencia=JVV0078, lote=5, articulo=0949-020-0R01 M6, cantidad=44, CAD_intro=*, CAD_mod=*, horas=1'88, observaciones=MATERIAL 28/01]
SMD [fecha_entrega=#REF!, semana=5, convencional=SI, referencia=PRE0051, lote=2, articulo=NP-6670D CTS-240, cantidad=105, CAD_intro=*, CAD_mod=*, horas=4'75, observaciones=non_value]
SMD [fecha_entrega=#REF!, semana=5, convencional=NO, referencia=JVV0151, lote=1, articulo=0949-036-0R01 M2, cantidad=42, CAD_intro=L, CAD_mod=*, horas=1'45, observaciones=non_value]
SMD [fecha_entrega=#REF!, semana=5, convencional=NO, referencia=JVV0151, lote=2, articulo=0949-036-0R01 M1, cantidad=70, CAD_intro=*, CAD_mod=*, horas=*, observaciones=non_value]
SMD [fecha_entrega=#REF!, semana=5, convencional=SI, referencia=PRE0019, lote=17, articulo=NP-6669D CTS-240, cantidad=100, CAD_intro=*, CAD_mod=*, horas=4'71, observaciones=non_value]
SMD [fecha_entrega=#REF!, semana=5, convencional=NO, referencia=JVV0045, lote=7, articulo=0877-030-0R01 (20leds), cantidad=50, CAD_intro=*, CAD_mod=*, horas=1'19, observaciones=non_value]
SMD [fecha_entrega=#REF!, semana=5, convencional=NO, referencia=CPS0003, lote=1, articulo=PCB_DRIVER_980013-V0-2, cantidad=60, CAD_intro=L, CAD_mod=*, horas=3'22, observaciones=MATERIAL ERRONEO (20268) RECIBIMOS DE FARNELL 05/02]
SMD [fecha_entrega=#REF!, semana=6, convencional=NO, referencia=BOQ0005, lote=2, articulo=PCB005, cantidad=1000, CAD_intro=*, CAD_mod=L, horas=7'83, observaciones=URGENTE]
SMD [fecha_entrega=#REF!, semana=6, convencional=NO, referencia=JVV0027, lote=15, articulo=0949-002-0R01 M5, cantidad=60, CAD_intro=*, CAD_mod=*, horas=1'56, observaciones=non_value]
SMD [fecha_entrega=#REF!, semana=6, convencional=NO, referencia=JVV0103, lote=5, articulo=0877-036-0R02 M1, cantidad=50, CAD_intro=*, CAD_mod=*, horas=1'73, observaciones=non_value]
SMD [fecha_entrega=#REF!, semana=6, convencional=NO, referencia=JVV0107, lote=2, articulo=0589-020-0R03, cantidad=192, CAD_intro=*, CAD_mod=*, horas=1'69, observaciones=non_value]
SMD [fecha_entrega=#REF!, semana=6, convencional=SI, referencia=CIP0001, lote=35, articulo=2748.0020 MYR PEQUEÑA, cantidad=150, CAD_intro=*, CAD_mod=*, horas=5'42, observaciones=non_value]
SMD [fecha_entrega=#REF!, semana=6, convencional=NO, referencia=CSE0014_01, lote=KIC1, articulo=ECGEXPERT02_02_C, cantidad=1, CAD_intro=*, CAD_mod=L, horas=3'12, observaciones=non_value]
SMD [fecha_entrega=#REF!, semana=6, convencional=SI, referencia=CSE0014_01, lote=1, articulo=ECGEXPERT02_02_C, cantidad=50, CAD_intro=*, CAD_mod=*, horas=*, observaciones=non_value]
SMD [fecha_entrega=#REF!, semana=7, convencional=SI, referencia=PRE0034, lote=5, articulo=6771A CRS-120, cantidad=25, CAD_intro=*, CAD_mod=*, horas=3'98, observaciones=non_value]
SMD [fecha_entrega=#REF!, semana=7, convencional=SI, referencia=PRE0001, lote=11, articulo=0580-ESPECIAL , cantidad=60, CAD_intro=*, CAD_mod=*, horas=5'14, observaciones=FALTA UN MATERIAL SMD QUE EN PRINCIPIO 15/02 TRAEN. PUEDEN ESPERAR A UN PARCIAL DE 35u PARA 19/02]
SMD [fecha_entrega=#REF!, semana=7, convencional=NO, referencia=CSE0013_03, lote=KIC1, articulo=ECGEXPERT02_01_B, cantidad=1, CAD_intro=L, CAD_mod=*, horas=8'02, observaciones=non_value]
SMD [fecha_entrega=#REF!, semana=7, convencional=SI, referencia=CSE0013_03, lote=1, articulo=ECGEXPERT02_01_B, cantidad=50, CAD_intro=*, CAD_mod=*, horas=*, observaciones=non_value]
SMD [fecha_entrega=#REF!, semana=7, convencional=NO, referencia=WAV0022_02, lote=4, articulo=WPF3_v3.2, cantidad=30, CAD_intro=*, CAD_mod=L, horas=5'04, observaciones=non_value]
SMD [fecha_entrega=#REF!, semana=7, convencional=NO, referencia=JVV0148, lote=7, articulo=0589-029-0R01 , cantidad=264, CAD_intro=*, CAD_mod=*, horas=1'64, observaciones=non_value]
SMD [fecha_entrega=#REF!, semana=7, convencional=NO, referencia=JVV0053, lote=3, articulo=0949-013-0R01 M3, cantidad=79, CAD_intro=*, CAD_mod=L, horas=1'58, observaciones=non_value]
SMD [fecha_entrega=#REF!, semana=7, convencional=NO, referencia=ELE0022, lote=1, articulo=E00730-B , cantidad=35, CAD_intro=L, CAD_mod=*, horas=4'14, observaciones=non_value]
SMD [fecha_entrega=#REF!, semana=7, convencional=NO, referencia=JVV0119, lote=2, articulo=0932-016-0Br02 M2, cantidad=764, CAD_intro=*, CAD_mod=*, horas=2'53, observaciones=non_value]
SMD [fecha_entrega=#REF!, semana=7, convencional=NO, referencia=JVV0154, lote=1, articulo=0932-001-0R01 M3, cantidad=520, CAD_intro=*, CAD_mod=L, horas=1'85, observaciones=non_value]
SMD [fecha_entrega=#REF!, semana=7, convencional=NO, referencia=ELE0001_01, lote=10, articulo=E00716-D, cantidad=1050, CAD_intro=*, CAD_mod=*, horas=16'74, observaciones=non_value]
SMD [fecha_entrega=#REF!, semana=8, convencional=NO, referencia=JVV0102, lote=2, articulo=0949-034-0R01, cantidad=100, CAD_intro=*, CAD_mod=*, horas=1'55, observaciones=non_value]
SMD [fecha_entrega=#REF!, semana=8, convencional=NO, referencia=JVV0155, lote=1, articulo=0949-004-0(Ar+Br)1 M4.4, cantidad=50, CAD_intro=*, CAD_mod=L, horas=1'93, observaciones=non_value]
SMD [fecha_entrega=#REF!, semana=8, convencional=SI, referencia=SOR0157, lote=4, articulo=PLACA SIMMER NORA, cantidad=20, CAD_intro=*, CAD_mod=*, horas=4'75, observaciones=non_value]
SMD [fecha_entrega=#REF!, semana=8, convencional=SI, referencia=SOR0036, lote=28, articulo=316030 CTR DEL DISPARO IPL, cantidad=50, CAD_intro=*, CAD_mod=*, horas=2'46, observaciones=non_value]
SMD [fecha_entrega=#REF!, semana=8, convencional=SI, referencia=SOR0036, lote=29, articulo=316030 CTR DEL DISPARO IPL, cantidad=50, CAD_intro=*, CAD_mod=*, horas=*, observaciones=non_value]
SMD [fecha_entrega=#REF!, semana=8, convencional=SI, referencia=SOR0036, lote=30, articulo=316030 CTR DEL DISPARO IPL, cantidad=75, CAD_intro=*, CAD_mod=*, horas=*, observaciones=non_value]
SMD [fecha_entrega=#REF!, semana=8, convencional=SI, referencia=SOR0036, lote=31, articulo=316030 CTR DEL DISPARO IPL, cantidad=50, CAD_intro=*, CAD_mod=*, horas=*, observaciones=non_value]
SMD [fecha_entrega=#REF!, semana=8, convencional=SI, referencia=PDC0001, lote=7, articulo=PDC30007, cantidad=25, CAD_intro=*, CAD_mod=*, horas=1'63, observaciones=non_value]
SMD [fecha_entrega=#REF!, semana=8, convencional=SI, referencia=SOR0101, lote=17, articulo=315573 DISTRIBUCION POTENCIA PHOTO., cantidad=24, CAD_intro=*, CAD_mod=*, horas=1'52, observaciones=non_value]
SMD [fecha_entrega=#REF!, semana=8, convencional=NO, referencia=JVV0036, lote=21, articulo=0877-031-0R01, cantidad=106, CAD_intro=*, CAD_mod=*, horas=1'4, observaciones=non_value]
SMD [fecha_entrega=#REF!, semana=8, convencional=NO, referencia=JVV0118, lote=3, articulo=0877-063-0R01 M1, cantidad=588, CAD_intro=*, CAD_mod=*, horas=2'2, observaciones=non_value]
SMD [fecha_entrega=#REF!, semana=8, convencional=SI, referencia=CES0007_01, lote=6, articulo=SC420_CI410, cantidad=69, CAD_intro=*, CAD_mod=*, horas=10'54, observaciones=non_value]
SMD [fecha_entrega=#REF!, semana=8, convencional=NO, referencia=WAV0027, lote=1, articulo=MONITEM BEACON, cantidad=8, CAD_intro=*, CAD_mod=*, horas=non_value, observaciones=MANUAL> CONTROL HORAS]
SMD [fecha_entrega=#REF!, semana=9, convencional=SI, referencia=THI0011, lote=1, articulo=FUELDRAINER_V12, cantidad=54, CAD_intro=L, CAD_mod=*, horas=2'63, observaciones=non_value]
SMD [fecha_entrega=#REF!, semana=9, convencional=SI, referencia=SOR0008, lote=21, articulo=315661 C.I. SALIDAS SKINLIGHT, cantidad=24, CAD_intro=*, CAD_mod=*, horas=1'6, observaciones=non_value]
SMD [fecha_entrega=#REF!, semana=9, convencional=SI, referencia=SOR0018, lote=23, articulo=900067 PLACA SALIDAS BODYTER PREMIUM, cantidad=25, CAD_intro=*, CAD_mod=*, horas=4'25, observaciones=non_value]
SMD [fecha_entrega=#REF!, semana=9, convencional=SI, referencia=PRE0008, lote=25, articulo=6354A CRS-240, cantidad=25, CAD_intro=*, CAD_mod=*, horas=3'15, observaciones=non_value]
SMD [fecha_entrega=#REF!, semana=9, convencional=NO, referencia=CIM0002, lote=1, articulo=980016 LED-V0, cantidad=84, CAD_intro=L, CAD_mod=*, horas=1'99, observaciones=non_value]
SMD [fecha_entrega=#REF!, semana=9, convencional=SI, referencia=WAV0028, lote=1, articulo=MONITEM EXPANSION ETHERNET, cantidad=8, CAD_intro=*, CAD_mod=*, horas=non_value, observaciones=MANUAL> CONTROL HORAS]
SMD [fecha_entrega=#REF!, semana=9, convencional=SI, referencia=ING0005_01, lote=2, articulo=i021-02H1_2.1.0, cantidad=108, CAD_intro=*, CAD_mod=L, horas=2'62, observaciones=non_value]
SMD [fecha_entrega=#REF!, semana=9, convencional=SI, referencia=CIP0010, lote=5, articulo=9354.0010 METRON, cantidad=3, CAD_intro=*, CAD_mod=*, horas=*, observaciones=MONTAJE MANUAL. NO LLEVA PANTALLA]
SMD [fecha_entrega=#REF!, semana=9, convencional=SI, referencia=CIP0006, lote=27, articulo=2748.0030 MYR GRANDE, cantidad=60, CAD_intro=*, CAD_mod=*, horas=3'52, observaciones=non_value]
SMD [fecha_entrega=#REF!, semana=9, convencional=SI, referencia=SOR0008, lote=22, articulo=315661 C.I. SALIDAS SKINLIGHT, cantidad=24, CAD_intro=*, CAD_mod=*, horas=1'69, observaciones=non_value]
SMD [fecha_entrega=#REF!, semana=9, convencional=SI, referencia=SOR0008, lote=23, articulo=315661 C.I. SALIDAS SKINLIGHT, cantidad=24, CAD_intro=*, CAD_mod=*, horas=*, observaciones=non_value]
SMD [fecha_entrega=#REF!, semana=9, convencional=NO, referencia=JVV0009, lote=10, articulo=0949-003-0R02 M2, cantidad=50, CAD_intro=*, CAD_mod=*, horas=1'45, observaciones=non_value]
SMD [fecha_entrega=#REF!, semana=9, convencional=SI, referencia=PRE0001, lote=12, articulo=0580-ESPECIAL, cantidad=95, CAD_intro=*, CAD_mod=*, horas=6'03, observaciones=non_value]
SMD [fecha_entrega=#REF!, semana=9, convencional=SI, referencia=WAV0009, lote=8, articulo=SMARTPOWER SMRF v2, cantidad=54, CAD_intro=*, CAD_mod=*, horas=5'41, observaciones=non_value]
SMD [fecha_entrega=#REF!, semana=9, convencional=NO, referencia=WAV0025, lote=2, articulo=MAINBOARD v3, cantidad=54, CAD_intro=*, CAD_mod=*, horas=6'93, observaciones=MAT.CLIENTE 29/02 >> 01/03 cliente nos notifica retraso en entrega de sus materiales y que recibiremos el MAT.CLIENTE 02/03 >> falta AD7927 >> cliente nos pide que lo pedidamos nosotras en farnell para recibirlo 03/03]
SMD [fecha_entrega=#REF!, semana=10, convencional=NO, referencia=JVV0059, lote=9, articulo=0589-024-0AR02 M2, cantidad=340, CAD_intro=*, CAD_mod=*, horas=3'51, observaciones=OJO COMBINACIONES DE BINES!!!!!!!!]
SMD [fecha_entrega=#REF!, semana=10, convencional=NO, referencia=JVV0099, lote=7, articulo=0589-024-0Br02, cantidad=310, CAD_intro=*, CAD_mod=*, horas=1'1, observaciones=non_value]
SMD [fecha_entrega=#REF!, semana=10, convencional=SI, referencia=SOR0154, lote=4, articulo=316234 PLACA DISPARO NORA +, cantidad=60, CAD_intro=*, CAD_mod=*, horas=2'33, observaciones=non_value]
SMD [fecha_entrega=#REF!, semana=10, convencional=SI, referencia=SOR0019, lote=14, articulo=315856 CONTROL BODYTER PREMIUM, cantidad=25, CAD_intro=*, CAD_mod=*, horas=3'17, observaciones=non_value]
SMD [fecha_entrega=#REF!, semana=10, convencional=NO, referencia=JVV0156, lote=1, articulo=0949-016-0R02 M5, cantidad=385, CAD_intro=*, CAD_mod=L, horas=5'36, observaciones=non_value]
SMD [fecha_entrega=#REF!, semana=10, convencional=NO, referencia=JVV0103, lote=6, articulo=0877-036-0R02 M2, cantidad=150, CAD_intro=*, CAD_mod=*, horas=1'7, observaciones=non_value]
SMD [fecha_entrega=#REF!, semana=10, convencional=NO, referencia=JVV0025, lote=4, articulo=0949-001-0R01 M1, cantidad=51, CAD_intro=*, CAD_mod=L, horas=1'12, observaciones=non_value]
SMD [fecha_entrega=#REF!, semana=10, convencional=NO, referencia=JVV0013, lote=8, articulo=0949-009-0R01, cantidad=50, CAD_intro=*, CAD_mod=L, horas=1'18, observaciones=non_value]
SMD [fecha_entrega=#REF!, semana=10, convencional=SI, referencia=SOR0007, lote=14, articulo=316014 CONTROL GENERAL SKINLIGHT, cantidad=25, CAD_intro=*, CAD_mod=*, horas=5'05, observaciones=non_value]
SMD [fecha_entrega=#REF!, semana=10, convencional=SI, referencia=SOR0007, lote=15, articulo=316014 CONTROL GENERAL SKINLIGHT, cantidad=30, CAD_intro=*, CAD_mod=*, horas=*, observaciones=non_value]
SMD [fecha_entrega=#REF!, semana=10, convencional=NO, referencia=IRE0001, lote=1, articulo=CAMALEON_PROTOS, cantidad=3, CAD_intro=*, CAD_mod=*, horas=*, observaciones=MONTAJE MANUAL CON PANTALLA PROTO. CONTROL HORAS]
SMD [fecha_entrega=#REF!, semana=10, convencional=NO, referencia=JVV0019, lote=11, articulo=0949-003-0R02 M1, cantidad=40, CAD_intro=*, CAD_mod=*, horas=1'87, observaciones=non_value]
SMD [fecha_entrega=#REF!, semana=10, convencional=NO, referencia=JVV0087, lote=2, articulo=0949-004-0R01 M3, cantidad=50, CAD_intro=*, CAD_mod=*, horas=2'73, observaciones=segun Jordi (Onaur) faltará 1 led en la última imagen... marcar placa]
SMD [fecha_entrega=#REF!, semana=10, convencional=NO, referencia=JVV0103, lote=7, articulo=0877-036-0R02 M1 , cantidad=100, CAD_intro=*, CAD_mod=*, horas=1'47, observaciones=non_value]
SMD [fecha_entrega=#REF!, semana=10, convencional=SI, referencia=CIP0009, lote=2, articulo=2748.0240 MYR DISPENSADOR EC500, cantidad=30, CAD_intro=L, CAD_mod=*, horas=1'61, observaciones=RECIBIMOS PANTALLA CLIENTE 11/03/16]
SMD [fecha_entrega=#REF!, semana=11, convencional=NO, referencia=CPS0002_01, lote=2, articulo=980015_V1, cantidad=756, CAD_intro=*, CAD_mod=L, horas=4'63, observaciones=non_value]
SMD [fecha_entrega=#REF!, semana=11, convencional=NO, referencia=BOQ0006_01, lote=2, articulo=PCB007 REV02, cantidad=1000, CAD_intro=*, CAD_mod=L, horas=4'67, observaciones=non_value]
SMD [fecha_entrega=#REF!, semana=11, convencional=SI, referencia=ALB0004, lote=1, articulo=PCB DIFF2LVTTL, cantidad=12, CAD_intro=*, CAD_mod=*, horas=*, observaciones=MONTAJE MANUAL (4H15M)]
SMD [fecha_entrega=#REF!, semana=11, convencional=NO, referencia=JVV0102, lote=3, articulo=0949-034-0R01, cantidad=702, CAD_intro=*, CAD_mod=*, horas=4'81, observaciones=solicitado material max. 14/03 (admite entregas parciales)]
SMD [fecha_entrega=#REF!, semana=11, convencional=NO, referencia=ELE0004, lote=7, articulo=E00681-C, cantidad=96, CAD_intro=*, CAD_mod=*, horas=8'11, observaciones=non_value]
SMD [fecha_entrega=#REF!, semana=11, convencional=SI, referencia=PRE0054, lote=1, articulo=9286.2 ESPECIAL, cantidad=200, CAD_intro=L, CAD_mod=*, horas=11'57, observaciones=OJO!! CONTROL DE HORAS EXHAUSTIVO' ANOTAR EN ACTIVIDADES DE SAGE Y EN HOJA A PARTE TODOS LOS TIEMPOS DE MONTAJES.]
SMD [fecha_entrega=#REF!, semana=12, convencional=SI, referencia=CIP0002, lote=3, articulo=PALETFILM-CSE, cantidad=100, CAD_intro=*, CAD_mod=*, horas=6, observaciones=non_value]
SMD [fecha_entrega=#REF!, semana=12, convencional=SI, referencia=SOR0095, lote=10, articulo=316162 CONTROL HITACHI, cantidad=26, CAD_intro=*, CAD_mod=*, horas=4'47, observaciones=non_value]
SMD [fecha_entrega=#REF!, semana=12, convencional=SI, referencia=PRE0053, lote=1, articulo=0720.2 ESPECIAL  (INCLUEYE PRE0054), cantidad=200, CAD_intro=L, CAD_mod=*, horas=7'69, observaciones=OJO!! CONTROL DE HORAS EXHAUSTIVO' ANOTAR EN ACTIVIDADES DE SAGE Y EN HOJA A PARTE TODOS LOS TIEMPOS DE MONTAJES.]
SMD [fecha_entrega=#REF!, semana=13, convencional=SI, referencia=PRE0006, lote=9, articulo=6778A CRS-120, cantidad=25, CAD_intro=*, CAD_mod=*, horas=3'78, observaciones=non_value]
SMD [fecha_entrega=#REF!, semana=13, convencional=SI, referencia=CES0001, lote=12, articulo=SC310_CI385, cantidad=50, CAD_intro=*, CAD_mod=*, horas=7'52, observaciones=non_value]
SMD [fecha_entrega=#REF!, semana=13, convencional=NO, referencia=JVV0119, lote=3, articulo=0932-016-0Br02 M2, cantidad=255, CAD_intro=*, CAD_mod=*, horas=1'51, observaciones=non_value]
SMD [fecha_entrega=#REF!, semana=13, convencional=SI, referencia=JVV0027, lote=16, articulo=0949-002-0R01 M5, cantidad=105, CAD_intro=*, CAD_mod=*, horas=1'61, observaciones=non_value]
SMD [fecha_entrega=#REF!, semana=13, convencional=NO, referencia=JVV0019, lote=13, articulo=0949-003-0R02 M1 4500K, cantidad=50, CAD_intro=*, CAD_mod=*, horas=1'93, observaciones=non_value]
SMD [fecha_entrega=#REF!, semana=13, convencional=NO, referencia=JVV0019, lote=14, articulo=0949-003-0R02 M2 (10leds), cantidad=50, CAD_intro=*, CAD_mod=*, horas=*, observaciones=non_value]
SMD [fecha_entrega=#REF!, semana=13, convencional=NO, referencia=JVV0119, lote=4, articulo=0932-016-0Br02 M2, cantidad=255, CAD_intro=*, CAD_mod=*, horas=1'51, observaciones=non_value]
SMD [fecha_entrega=#REF!, semana=13, convencional=NO, referencia=JVV0154, lote=2, articulo=0932-001-0R01 M3, cantidad=479, CAD_intro=*, CAD_mod=*, horas=1'82, observaciones=non_value]
SMD [fecha_entrega=#REF!, semana=13, convencional=NO, referencia=JVV0023, lote=5, articulo=0949-001-0R01 M5 (10leds), cantidad=51, CAD_intro=*, CAD_mod=*, horas=1'48, observaciones=non_value]
SMD [fecha_entrega=#REF!, semana=13, convencional=NO, referencia=JVV0025, lote=5, articulo=0949-001-0R01 M4 (5leds), cantidad=120, CAD_intro=*, CAD_mod=*, horas=*, observaciones=non_value]
SMD [fecha_entrega=#REF!, semana=13, convencional=NO, referencia=SOR0105, lote=23, articulo=CIRCUITO MASCARA SKINLIGHT, cantidad=60, CAD_intro=*, CAD_mod=*, horas=1'24, observaciones=non_value]
SMD [fecha_entrega=#REF!, semana=14, convencional=NO, referencia=ELE0018_02, lote=3, articulo=E00740-B, cantidad=525, CAD_intro=*, CAD_mod=L, horas=5'85, observaciones=CAMBIO DE REVISION DE CIRCUITO (AHORA ES REV.B PERO NO IMPLICA NINGUN CAMBIO EN SOLDADURA DE COMPONENTES SMD SEGUN CLIENTE) 29/03 cliente notifica que el cirtuito va con retraso y no lo recibirá hasta 05/04 ]
SMD [fecha_entrega=#REF!, semana=14, convencional=SI, referencia=PRE0001, lote=13, articulo=0580-ESPECIAL, cantidad=40, CAD_intro=*, CAD_mod=*, horas=4'62, observaciones=non_value]
SMD [fecha_entrega=#REF!, semana=14, convencional=SI, referencia=PRE0030, lote=9, articulo=6770A CRS-120, cantidad=30, CAD_intro=*, CAD_mod=*, horas=3'95, observaciones=non_value]
SMD [fecha_entrega=#REF!, semana=14, convencional=NO, referencia=JVV0097, lote=4, articulo=0932-016-0Ar03, cantidad=100, CAD_intro=*, CAD_mod=*, horas=3'65, observaciones=non_value]
SMD [fecha_entrega=#REF!, semana=14, convencional=NO, referencia=JVV0159, lote=1, articulo=0932-034-0Cr02 M1 SIN PWM, cantidad=285, CAD_intro=L, CAD_mod=*, horas=2'9, observaciones=non_value]
SMD [fecha_entrega=#REF!, semana=14, convencional=NO, referencia=JVV0158, lote=1, articulo=0949-003-0R03 M3.1, cantidad=200, CAD_intro=L, CAD_mod=*, horas=2'6, observaciones=LED 3000K OJO COMBINACION BINES]
SMD [fecha_entrega=#REF!, semana=14, convencional=NO, referencia=JVV0158, lote=2, articulo=0949-003-0R03 M4.1, cantidad=200, CAD_intro=*, CAD_mod=*, horas=*, observaciones=LED 4000K OJO COMBINACION BINES]
SMD [fecha_entrega=#REF!, semana=14, convencional=SI, referencia=PLA0002, lote=6, articulo=SE-250-PA2-GI, cantidad=2004, CAD_intro=L, CAD_mod=*, horas=5'28, observaciones=URGENTES]
SMD [fecha_entrega=#REF!, semana=15, convencional=NO, referencia=JVV0016, lote=14, articulo=0875-004-0R02 M2 ROJO, cantidad=70, CAD_intro=*, CAD_mod=*, horas=2'47, observaciones=non_value]
